序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
218,接收,17:26:54.362.0,0x00000123,数据帧,标准帧,0x08,02 19 01 02 05 09 00 00 
219,接收,17:26:54.504.0,0x00000123,数据帧,标准帧,0x08,02 20 01 02 05 09 00 00 
220,接收,17:26:54.504.0,0x00000123,数据帧,标准帧,0x08,02 21 01 02 05 09 00 00 
221,接收,17:26:54.661.0,0x00000123,数据帧,标准帧,0x08,02 22 01 02 05 09 00 00 
222,接收,17:26:54.661.0,0x00000123,数据帧,标准帧,0x08,02 23 01 02 05 09 00 00 
223,接收,17:26:54.661.0,0x00000123,数据帧,标准帧,0x08,02 24 01 02 05 09 00 00 
224,接收,17:26:54.707.0,0x00000123,数据帧,标准帧,0x08,02 25 01 02 05 09 00 00 
225,接收,17:26:54.800.0,0x00000123,数据帧,标准帧,0x08,02 26 01 02 05 09 00 00 
226,接收,17:26:54.954.0,0x00000123,数据帧,标准帧,0x08,02 27 01 02 05 09 00 00 
227,接收,17:26:54.954.0,0x00000123,数据帧,标准帧,0x08,02 28 01 02 05 09 00 00 
228,接收,17:26:55.106.0,0x00000123,数据帧,标准帧,0x08,02 29 01 02 05 09 00 00 
229,接收,17:26:55.106.0,0x00000123,数据帧,标准帧,0x08,02 30 01 02 05 09 00 00 
230,接收,17:26:55.106.0,0x00000123,数据帧,标准帧,0x08,02 31 01 02 05 09 00 00 
231,接收,17:26:55.286.0,0x00000123,数据帧,标准帧,0x08,02 32 01 02 05 09 00 00 
232,接收,17:26:55.286.0,0x00000123,数据帧,标准帧,0x08,02 33 01 02 05 09 00 00 
233,接收,17:26:55.286.0,0x00000123,数据帧,标准帧,0x08,02 34 01 02 05 09 00 00 
234,接收,17:26:55.438.0,0x00000123,数据帧,标准帧,0x08,02 35 01 02 05 09 00 00 
235,接收,17:26:55.438.0,0x00000123,数据帧,标准帧,0x08,02 36 01 02 05 09 00 00 
236,接收,17:26:55.532.0,0x00000123,数据帧,标准帧,0x08,02 37 01 02 05 09 00 00 
237,接收,17:26:55.532.0,0x00000123,数据帧,标准帧,0x08,02 38 01 02 05 09 00 00 
238,接收,17:26:55.686.0,0x00000123,数据帧,标准帧,0x08,02 39 01 02 05 09 00 00 
239,接收,17:26:55.686.0,0x00000123,数据帧,标准帧,0x08,02 40 01 02 05 09 00 00 
240,接收,17:26:55.812.0,0x00000123,数据帧,标准帧,0x08,02 41 01 02 05 09 00 00 
241,接收,17:26:55.812.0,0x00000123,数据帧,标准帧,0x08,02 42 01 02 05 09 00 00 
242,接收,17:26:55.874.0,0x00000123,数据帧,标准帧,0x08,02 43 01 02 05 09 00 00 
243,接收,17:26:55.987.0,0x00000123,数据帧,标准帧,0x08,02 44 01 02 05 09 00 00 
244,接收,17:26:55.987.0,0x00000123,数据帧,标准帧,0x08,02 45 01 02 05 09 00 00 
245,接收,17:26:56.139.0,0x00000123,数据帧,标准帧,0x08,02 46 01 02 05 09 00 00 
246,接收,17:26:56.139.0,0x00000123,数据帧,标准帧,0x08,02 47 01 02 05 09 00 00 
247,接收,17:26:56.267.0,0x00000123,数据帧,标准帧,0x08,02 48 01 02 05 09 00 00 
248,接收,17:26:56.267.0,0x00000123,数据帧,标准帧,0x08,02 49 01 02 05 09 00 00 
249,接收,17:26:56.410.0,0x00000123,数据帧,标准帧,0x08,02 50 01 02 05 09 00 00 
250,接收,17:26:56.410.0,0x00000123,数据帧,标准帧,0x08,02 51 01 02 05 09 00 00 
251,接收,17:26:56.410.0,0x00000123,数据帧,标准帧,0x08,02 52 01 02 05 09 00 00 
252,接收,17:26:56.532.0,0x00000123,数据帧,标准帧,0x08,02 53 01 02 05 09 00 00 
253,接收,17:26:56.532.0,0x00000123,数据帧,标准帧,0x08,02 54 01 02 05 09 00 00 
254,接收,17:26:56.687.0,0x00000123,数据帧,标准帧,0x08,02 55 01 02 05 09 00 00 
255,接收,17:26:56.687.0,0x00000123,数据帧,标准帧,0x08,02 56 01 02 05 09 00 00 
256,接收,17:26:56.811.0,0x00000123,数据帧,标准帧,0x08,02 57 01 02 05 09 00 00 
257,接收,17:26:56.811.0,0x00000123,数据帧,标准帧,0x08,02 58 01 02 05 09 00 00 
258,接收,17:26:56.953.0,0x00000123,数据帧,标准帧,0x08,02 59 01 02 05 09 00 00 
259,接收,17:26:56.953.0,0x00000123,数据帧,标准帧,0x08,02 60 01 02 05 09 00 00 
260,接收,17:26:56.992.0,0x00000123,数据帧,标准帧,0x08,02 61 01 02 05 09 00 00 
261,接收,17:26:57.113.0,0x00000123,数据帧,标准帧,0x08,02 62 01 02 05 09 00 00 
262,接收,17:26:57.255.0,0x00000123,数据帧,标准帧,0x08,02 63 01 02 05 09 00 00 
263,接收,17:26:57.255.0,0x00000123,数据帧,标准帧,0x08,02 64 01 02 05 09 00 00 
